trade_id,timestamp,symbol,side,quantity,price,fees,strategy,account,fill_id
0,1700000000000000000,AMZN,Buy,7600,179.6,136.5,stat_arb,acc3,fill_00000000
1,1700000000004674866,MSFT,Sell,330,385.34,12.72,stat_arb,acc1,fill_00000001
2,1700000000006608934,JPM,Buy,5750,181.65,104.45,macro,acc2,fill_00000002
3,1700000000008558123,HD,Sell,8290,359.62,298.12,stat_arb,acc1,fill_00000003
4,1700000000012203269,UNH,Sell,1600,523.82,83.81,stat_arb,acc1,fill_00000004
5,1700000000015490330,AMZN,Sell,8680,185.97,161.42,market_making,acc3,fill_00000005
6,1700000000017809291,GOOG,Sell,5500,144.48,79.46,stat_arb,acc3,fill_00000006
7,1700000000020368648,KO,Sell,5920,61.92,36.66,momentum,acc3,fill_00000007
8,1700000000021052118,GOOG,Buy,7920,139.72,110.66,momentum,acc1,fill_00000008
9,1700000000024340847,V,Sell,6510,272.14,177.16,market_making,acc1,fill_00000009
10,1700000000027546150,MA,Buy,6870,417.9,287.1,stat_arb,acc3,fill_00000010
11,1700000000029081765,PFE,Buy,1680,29.31,4.92,vol_arb,acc2,fill_00000011
12,1700000000031446251,PFE,Buy,7020,27.57,19.35,stat_arb,acc1,fill_00000012
13,1700000000031815527,UNH,Sell,2750,535.88,147.37,stat_arb,acc1,fill_00000013
14,1700000000036673378,UNH,Buy,6720,498.38,334.91,vol_arb,acc1,fill_00000014
15,1700000000038995353,TSLA,Buy,7630,250.05,190.79,macro,acc3,fill_00000015
16,1700000000041299389,ABBV,Sell,9200,152.46,140.26,momentum,acc3,fill_00000016
17,1700000000045539299,MSFT,Buy,8820,376.39,331.98,stat_arb,acc1,fill_00000017
18,1700000000046981325,PG,Buy,3950,147.4,58.22,macro,acc2,fill_00000018
19,1700000000051722120,AAPL,Buy,6990,182.9,127.85,macro,acc2,fill_00000019
20,1700000000054675718,AMZN,Sell,4460,180.16,80.35,market_making,acc3,fill_00000020
21,1700000000056274358,XOM,Buy,8920,105.14,93.78,market_making,acc3,fill_00000021
22,1700000000060632942,KO,Buy,1570,59.5,9.34,macro,acc1,fill_00000022
23,1700000000063452160,BAC,Buy,1150,35.3,4.06,market_making,acc2,fill_00000023
24,1700000000065560831,GOOG,Buy,9000,138.97,125.07,vol_arb,acc1,fill_00000024
25,1700000000070129494,TSLA,Buy,6760,249.17,168.44,vol_arb,acc3,fill_00000025
